C,mean_cv_auroc,std_cv_auroc
0.0001,0.7914292596035402,0.011966870294574924
0.001,0.7937940699514746,0.01240882666409763
0.01,0.7684789208497717,0.012995226051331599
0.1,0.7282000181516011,0.013110417611507316
1.0,0.6916966648477617,0.014440111450147163
