Dataset,Historical 65/35 fusion,Alternative-recipe 3-seed ensemble
CheXpert test,0.749810477596457,0.74801500219447
RSNA,0.8060872015643634,0.8293221992547413
PadChest full,0.7286230583343478,0.7635150176730168
PadChest Physician,0.7390137514108198,0.766072110474965
