metric,point_difference,ci_2_5,ci_97_5,two_sided_bootstrap_p_value,iterations,family
pointing_game_hit,0.3360505739477624,0.3224089169855265,0.3485276992181002,0.0,2000,localization
energy_inside_boxes,0.1162842796444396,0.1131742370693448,0.1195416247300697,0.0,2000,localization
heatmap_iou_0_5,0.1134848646531394,0.1097750030927881,0.1171207867131199,0.0,2000,localization
