input_condition,original_recipe_seed42_auroc,alternative_recipe_seed42_auroc,alternative_minus_original
full,0.756194267024592,0.7509796661421211,-0.005214600882470943
hard,0.7403241898,0.731478910179,-0.008845279621000013
soft_0.20,0.7477552532,0.751853908894,0.00409865569399992
