epoch,train_loss,validation_auroc,validation_auprc
1,0.36443046129600787,0.7228444773571128,0.8537264264604217
2,0.3233889012787181,0.7314789101792711,0.8481353596845783
3,0.2441613134716411,0.730064693963611,0.8583765439557036
4,0.15319533256093792,0.705709319427731,0.8442676776887599
5,0.09489452602743087,0.7092782868956153,0.8504428240734045
