dataset,N,positives,negatives,threshold,sensitivity,specificity,balanced_accuracy,precision,NPV,accuracy,F1,TP,TN,FP,FN
CheXpert_test,990,706,284,0.5850369518960012,0.6416430594900849,0.75,0.6958215297450425,0.8645038167938931,0.4570815450643777,0.6727272727272727,0.7365853658536584,453,213,71,253
RSNA,26684,6012,20672,0.5850369518960012,0.6027944111776448,0.8025348297213623,0.7026646204495035,0.4702828964443291,0.8741700916851091,0.7575326038075251,0.5283569033386791,3624,16590,4082,2388
PadChest_full,95757,3773,91984,0.5850369518960012,0.20911741319904587,0.9347930074795616,0.5719552103393037,0.11625165758066892,0.9664606046982129,0.906200068924465,0.1494318181818182,789,85986,5998,2984
PadChest_Physician,24536,951,23585,0.5850369518960012,0.17245005257623555,0.9460250158999364,0.559237534238086,0.11412665274878218,0.96592926100697,0.9160417345940659,0.13735343383584592,164,22312,1273,787
