,AUROC,AUPRC,Brier,NLL,Sensitivity,Specificity,Precision,NPV,Accuracy,BalancedAccuracy,F1
ResNet50Original42,0.6811574837085486,0.06927001072694532,0.14307516209558563,0.46510670255908465,0.2594752186588921,0.8668572795268742,0.07402086798729775,0.9661460542099333,0.8429253213864261,0.5631662490928832,0.11518324607329844
ComplementaryResNet50,0.761242284061248,0.1161691622903286,0.10322667306643539,0.36602047675882216,0.2756427246223165,0.931759871281962,0.14213475468088013,0.9690976933514247,0.9059076621030316,0.6037012979521392,0.18755635707844903
FrozenFusion65_35,0.7286230583343478,0.09301167370169475,0.12176178352020392,0.4116814284483456,0.2653061224489796,0.912006435901896,0.11006047278724573,0.9680136622741224,0.8865252670823021,0.5886562791754378,0.1555797326701896
