dataset,rows,patients,original_auroc,fusion_auroc,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auroc_p,original_auprc,fusion_auprc,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_auprc_p,bootstrap_replicates
CheXpert test,990,830,0.7321150700235406,0.749810477596457,0.017695407572916433,0.005473444434489261,0.03211670208805446,0.007992007992007992,0.8599088677851383,0.8674839619127537,0.007575094127615367,-0.005045014509739007,0.020810928286542896,0.22377622377622378,1000
RSNA external,26684,26684,0.7794545792960004,0.8060872015643634,0.02663262226836305,0.024173201338318472,0.029347999075219136,0.001998001998001998,0.4241675626744785,0.4754436179667327,0.05127605529225415,0.04447130696928776,0.058294540489635054,0.001998001998001998,1000
PadChest full,95757,63706,0.6811574837085486,0.7286230583343479,0.04746557462579937,0.04433427557466622,0.05018396863495997,0.003992015968063872,0.06927001072694532,0.09301167370169475,0.02374166297474943,0.021612265118247438,0.026231991962372175,0.003992015968063872,500
PadChest Physician-only,24536,22953,0.7006692128857142,0.7390137514108198,0.038344538525105665,0.032416885172553346,0.04412085813559139,0.003992015968063872,0.0728102883608871,0.09467023235468178,0.021859943993794678,0.01747853789961534,0.026696177929517857,0.003992015968063872,500
