,AUROC,AUPRC,Brier,NLL,Sensitivity,Specificity,BalancedAccuracy,F1
ResNet50Original42,0.7794545792960004,0.4241675626744785,0.19816949764213046,0.5880785918102684,0.605455755156354,0.7736068111455109,0.6895312831509324,0.507954228300307
ComplementaryResNet50,0.8025304766498994,0.47078210612350785,0.20067882678967933,0.6074944995086734,0.7330339321357285,0.736358359133127,0.7346961456344278,0.5554225218980402
FrozenFusion65_35,0.8060872015643634,0.4754436179667327,0.194428052647591,0.5761733421129268,0.7235528942115769,0.7483552631578947,0.7359540786847358,0.558982266769468
