dataset,delta_Brier,delta_NLL,delta_ECE15
CheXpert_test,-0.025422771161750318,-0.059139328162024496,-0.0612333303140693
RSNA,-0.0037414449945394612,-0.011905249697341636,0.008098009788292893
PadChest_full,-0.021313378575381722,-0.05276261959231171,-0.02469108090114225
PadChest_Physician,-0.011110958653764921,-0.030293782349799403,-0.010993248148599755
