,AUROC,AUPRC,Brier,NLL,Sensitivity,Specificity,Precision,NPV,Accuracy,BalancedAccuracy,F1
ResNet50Original42,0.7006692128857142,0.0728102883608871,0.12139134101236475,0.414406373552404,0.20715036803364878,0.9092219631121475,0.08426005132591959,0.9660329759437787,0.8820101075970004,0.5581861655728981,0.11979325022803285
ComplementaryResNet50,0.7620441711713701,0.11722035302951353,0.10405110628959423,0.3696524428882734,0.2723449001051525,0.9336018655925377,0.14191780821917807,0.9695301836114658,0.907971959569612,0.602973382848845,0.18659942363112392
FrozenFusion65_35,0.7390137514108198,0.09467023235468178,0.11028038235859984,0.38411259120260366,0.2323869610935857,0.9275810896756413,0.11456713322965267,0.9677091166452868,0.9006358004564721,0.5799840253846136,0.15347222222222223
