subset,n,positive,negative,AUROC,AUPRC,Brier,NLL,ECE15,method,ensemble_rule,preprocessing,external_tuning
full,95757,3773,91984,0.7635150176730168,0.11206171592945555,0.07704459277068995,0.2925341052759541,0.17790527830734312,complementary_resnet50_3seed_logit_mean,equal_weight_logit_mean,uint16_fixed_0_65535_to_uint8_rgb,False
physician,24536,951,23585,0.766072110474965,0.11765494996360433,0.07478863209430132,0.29086375753744786,0.17978655083596914,complementary_resnet50_3seed_logit_mean,equal_weight_logit_mean,uint16_fixed_0_65535_to_uint8_rgb,False
