cohort,AUROC,AUPRC
CheXpert test,0.74801500219447,0.8672512633224498
RSNA,0.8293221992547413,0.540542050861252
PadChest full,0.7635150176730168,0.11206171592945555
PadChest Physician,0.766072110474965,0.11765494996360433
